,site_no,hour_of_day,DestId,index
784,52,16,3053,449
785,52,17,3053,674
786,52,18,3053,852
787,52,19,3053,390
788,52,20,3053,168
789,52,21,3053,97
790,52,22,3053,67
791,52,23,3053,58
792,55,0,3056,11
793,55,1,3056,7
794,55,2,3056,5
795,55,3,3056,8
796,55,4,3056,4
797,55,5,3056,7
798,55,6,3056,62
799,55,7,3056,168
800,55,8,3056,317
801,55,9,3056,201
802,55,10,3056,131
803,55,11,3056,119
804,55,12,3056,130
805,55,13,3056,143
806,55,14,3056,128
807,55,15,3056,104
808,55,16,3056,105
809,55,17,3056,131
810,55,18,3056,107
811,55,19,3056,88
812,55,20,3056,55
813,55,21,3056,43
814,55,22,3056,29
815,55,23,3056,21
816,57,0,5009,151
817,57,1,5009,95
818,57,2,5009,66
819,57,3,5009,42
820,57,4,5009,82
821,57,5,5009,290
822,57,6,5009,1128
823,57,7,5009,2359
824,57,8,5009,3839
825,57,9,5009,2691
826,57,10,5009,1944
827,57,11,5009,1854
828,57,12,5009,2257
829,57,13,5009,2291
830,57,14,5009,1990
831,57,15,5009,2273
832,57,16,5009,2257
833,57,17,5009,2775
834,57,18,5009,2295
835,57,19,5009,1462
836,57,20,5009,932
837,57,21,5009,769
838,57,22,5009,694
839,57,23,5009,322
840,60,0,3062,12
841,60,1,3062,6
842,60,2,3062,7
843,60,3,3062,7
844,60,4,3062,5
845,60,5,3062,23
846,60,6,3062,131
847,60,7,3062,458
848,60,8,3062,752
849,60,9,3062,487
850,60,10,3062,264
851,60,11,3062,208
852,60,12,3062,222
853,60,13,3062,246
854,60,14,3062,207
855,60,15,3062,185
856,60,16,3062,163
857,60,17,3062,212
858,60,18,3062,204
859,60,19,3062,140
860,60,20,3062,82
861,60,21,3062,89
862,60,22,3062,61
863,60,23,3062,27
864,67,0,3071,25
865,67,1,3071,5
866,67,2,3071,3
867,67,3,3071,7
868,67,4,3071,26
869,67,5,3071,267
870,67,6,3071,385
871,67,7,3071,419
872,67,8,3071,490
873,67,9,3071,417
874,67,10,3071,344
875,67,11,3071,308
876,67,12,3071,336
877,67,13,3071,286
878,67,14,3071,259
879,67,15,3071,338
880,67,16,3071,376
881,67,17,3071,444
882,67,18,3071,439
883,67,19,3071,228
884,67,20,3071,116
885,67,21,3071,75
886,67,22,3071,72
887,67,23,3071,40
888,69,0,3363,40
889,69,1,3363,19
890,69,2,3363,21
891,69,3,3363,6
892,69,4,3363,16
893,69,5,3363,88
894,69,6,3363,233
895,69,7,3363,676
896,69,8,3363,1360
897,69,9,3363,905
898,69,10,3363,681
899,69,11,3363,583
900,69,12,3363,624
901,69,13,3363,563
902,69,14,3363,521
903,69,15,3363,528
904,69,16,3363,576
905,69,17,3363,699
906,69,18,3363,773
907,69,19,3363,387
908,69,20,3363,276
909,69,21,3363,160
910,69,22,3363,168
911,69,23,3363,72
912,72,0,3076,19
913,72,1,3076,6
914,72,2,3076,1
915,72,3,3076,5
916,72,4,3076,7
917,72,5,3076,13
918,72,6,3076,43
919,72,7,3076,142
920,72,8,3076,294
921,72,9,3076,195
922,72,10,3076,118
923,72,11,3076,134
924,72,12,3076,152
925,72,13,3076,130
926,72,14,3076,124
927,72,15,3076,120
928,72,16,3076,125
929,72,17,3076,150
930,72,18,3076,136
931,72,19,3076,76
932,72,20,3076,73
933,72,21,3076,56
934,72,22,3076,35
935,72,23,3076,24
936,77,0,1168,18
937,77,1,1168,15
938,77,2,1168,7
939,77,3,1168,3
940,77,4,1168,4
941,77,5,1168,13
942,77,6,1168,78
943,77,7,10671,229
944,77,8,1168,358
945,77,9,10671,302
946,77,10,10671,200
947,77,11,10671,189
948,77,12,10671,209
949,77,13,10671,210
950,77,14,10671,199
951,77,15,10671,285
952,77,16,1168,256
953,77,17,1168,272
954,77,18,10671,219
955,77,19,10671,138
956,77,20,1168,99
957,77,21,1168,82
958,77,22,1168,72
959,77,23,1168,27
960,78,0,2102,70
961,78,1,2102,46
962,78,2,2102,31
963,78,3,2102,84
964,78,4,2102,184
965,78,5,2102,348
966,78,6,2102,1129
967,78,7,2102,2276
968,78,8,2102,3439
969,78,9,2102,2116
970,78,10,2102,1521
971,78,11,2102,1413
972,78,12,2102,1587
973,78,13,2102,1851
974,78,14,2102,1390
975,78,15,2102,1305
976,78,16,2102,1071
977,78,17,2102,1258
978,78,18,2102,922
979,78,19,2102,544
980,78,20,2102,378
981,78,21,2102,364
982,78,22,2102,265
983,78,23,2102,174
984,79,0,3083,28
985,79,1,3083,13
986,79,2,3083,8
987,79,3,3083,4
988,79,4,3083,14
989,79,5,3083,55
990,79,6,3083,209
991,79,7,3083,240
992,79,8,3083,298
993,79,9,3083,218
994,79,10,3083,164
995,79,11,3083,126
996,79,12,3083,140
997,79,13,3083,155
998,79,14,3083,149
999,79,15,3083,151
1000,79,16,3083,155
1001,79,17,3083,187
1002,79,18,3083,162
1003,79,19,3083,119
1004,79,20,3083,85
1005,79,21,3083,79
1006,79,22,3083,82
1007,79,23,3083,38
1008,80,0,3084,28
1009,80,1,3084,19
1010,80,2,3084,11
1011,80,3,3084,9
1012,80,4,3084,16
1013,80,5,3084,121
1014,80,6,3084,232
1015,80,7,3084,456
1016,80,8,3084,569
1017,80,9,3084,383
1018,80,10,3084,294
1019,80,11,3084,313
1020,80,12,3084,310
1021,80,13,3084,281
1022,80,14,3084,248
1023,80,15,3084,276
1024,80,16,3084,304
1025,80,17,3084,397
1026,80,18,3084,379
1027,80,19,3084,196
1028,80,20,3084,130
1029,80,21,3084,101
1030,80,22,3084,96
1031,80,23,3084,62
1032,83,0,3088,7
1033,83,1,3088,4
1034,83,2,3088,4
1035,83,3,3088,1
1036,83,4,3088,32
1037,83,5,3088,58
1038,83,6,3088,215
1039,83,7,3088,335
1040,83,8,3088,432
1041,83,9,3088,424
1042,83,10,3088,353
1043,83,11,3088,293
1044,83,12,3088,439
1045,83,13,3088,304
1046,83,14,3088,246
1047,83,15,3088,244
1048,83,16,3088,235
1049,83,17,3088,290
1050,83,18,3088,281
1051,83,19,3088,107
1052,83,20,3088,151
1053,83,21,3088,62
1054,83,22,3088,25
1055,83,23,3088,17
1056,85,0,1089,101
1057,85,1,1089,63
1058,85,2,1089,57
1059,85,3,1089,100
1060,85,4,1089,135
1061,85,5,1089,640
1062,85,6,1089,1009
1063,85,7,1089,1505
1064,85,8,1089,2077
1065,85,9,1089,1440
1066,85,10,1089,1030
1067,85,11,1089,1049
1068,85,12,1089,1090
1069,85,13,1089,1212
1070,85,14,1089,1052
1071,85,15,1089,1038
1072,85,16,1089,958
1073,85,17,1089,1130
1074,85,18,1089,863
1075,85,19,1089,596
1076,85,20,1089,391
1077,85,21,1089,417
1078,85,22,1089,315
1079,85,23,1089,175
